estimator,q,balanced_accuracy,accuracy,nll,brier,auroc,runtime_seconds
twopl_irt_online_baseline,1000,0.8007543575905136,0.8392288806038011,0.41687683194721975,0.11888870457187295,0.8966877806169006,0.43435949293723297
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w50_50_bm060,1000,0.7974197658970769,0.8394959989087933,0.41140253275875005,0.1186069025686203,0.8983294166356326,0.44219652893752937
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w50_50_bm030,1000,0.7961805690620897,0.8396380831135765,0.4112207278270843,0.11852426650852509,0.8983294104097113,0.4412024441876383
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w55_45_bm030,1000,0.7958892059448728,0.8397290170046376,0.41087004536651284,0.11851358790869945,0.8983345984452787,0.5000934385623168
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w50_50,1000,0.7955494063759755,0.839717650268255,0.4111583468346559,0.11849236690868598,0.8983292639946501,0.43946245712515974
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w55_45,1000,0.7954613124476753,0.8398654178412294,0.4108034342090507,0.11847988768038187,0.8983342616409765,0.4513832315624313
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w60_40,1000,0.7951993832722029,0.8402575702464308,0.41047792233183833,0.11847234520159262,0.89835860701925,0.4804448415624165
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w65_35,1000,0.7947237708810275,0.8401666363553696,0.4101772771370487,0.11846974127386031,0.8983666363144523,0.43428675568759445
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w50_50_bp030,1000,0.7943230495492382,0.8396096662726198,0.411215310643644,0.11851114090279036,0.898329458894316,0.44315962025018507
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w55_45_bp030,1000,0.7941925204585343,0.8395926161680458,0.41085642063652383,0.11849706351150022,0.8983347865226703,0.4409831672500104
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w60_40_bm030,1000,0.7939560977183229,0.8398313176320815,0.4105487609213717,0.11850786590145874,0.8983585774556774,0.4689757753126287
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w60_40_bp030,1000,0.7937522039757825,0.8395755660634718,0.41052692965942544,0.11848789873799469,0.8983586329134537,0.49213803931252187
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w65_35_bp030,1000,0.7935565257307939,0.8399222515231427,0.4102223016581054,0.11848364862736044,0.8983667741748029,0.43514668712509774
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w55_45_bm060,1000,0.793189145425214,0.8394505319632627,0.41105633203200215,0.11859822534319796,0.8983342317517166,0.48374446037507823
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w50_50_bp060,1000,0.7925463127446666,0.8393823315449668,0.41139152545775826,0.11858050059199482,0.8983293853781638,0.43906116281232244
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w55_45_bp060,1000,0.7923476287799958,0.8395528325907066,0.4110289119520598,0.1185650290079274,0.8983345396657213,0.4465691778126484
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w65_35_bm030,1000,0.791884179843653,0.8396551332181504,0.410252342445537,0.11850710197514563,0.8983667153788136,0.44330494418750277
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w60_40_bp060,1000,0.7914974809426204,0.8395016822769846,0.41069569133797823,0.11855444169590357,0.8983586010618808,0.4826247361248761
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w65_35_bp060,1000,0.7905477254026682,0.8394959989087933,0.4103873256033938,0.11854874087360948,0.8983667004705487,0.43937636100008604
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w60_40_bm060,1000,0.7895956938069785,0.8394107483859234,0.41073952210640885,0.11859452019354919,0.8983587576234923,0.4816504259372323
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w65_35_bm060,1000,0.7889973055667301,0.839331181231245,0.4104475729885303,0.11859578822669328,0.89836671930092,0.4498012976875998
grouped_residual_irt_pca_quantile_g16_t025_rp200,1000,0.7847357338463941,0.8401325361462217,0.4087445523773566,0.11858974837983383,0.8983674480854426,0.4380595145000825
rasch_irt_online_baseline,1000,0.7833732368162386,0.8399506683640993,0.410912116377752,0.11931083630770445,0.8966877806169006,0.43761069237541506
