q,strategy,groups,balanced_accuracy,accuracy,auroc
100,anchor_cosine,8,0.7861764492594425,0.8176325964528873,0.8840388239745065
100,anchor_cosine,16,0.7864542260318933,0.8179425485416492,0.8847484251827986
100,anchor_cosine,32,0.786381774638988,0.8177481718080188,0.884718014472525
100,anchor_cosine,64,0.7860101325202408,0.8172070690089939,0.8839408345859723
100,kmeans_cosine,8,0.786090346866323,0.8176010759014878,0.8841543388551326
100,kmeans_cosine,16,0.7864036497753314,0.8179740690930487,0.8844614831482419
100,kmeans_cosine,32,0.7861366632492892,0.8179950827939817,0.884272292336038
100,kmeans_euclidean,8,0.7860256539511146,0.8175380347986887,0.8841732641515168
100,kmeans_euclidean,16,0.7862900512540729,0.8180160964949147,0.884458607979755
100,pca_quantile,8,0.784753891597887,0.8177061444061529,0.8831773552315996
100,pca_quantile,16,0.7852130987876533,0.8171755484575943,0.8829350316216172
100,pca_quantile,32,0.7857783731320314,0.8170599731024628,0.8829003200098026
100,pca_quantile,64,0.7850887764801344,0.8167237538875347,0.8826623912279579
200,anchor_cosine,8,0.7894967614414388,0.8172681613969653,0.8866299651136359
200,anchor_cosine,16,0.7894084841889822,0.8174323980673053,0.8871414699671984
200,anchor_cosine,32,0.7892237059137327,0.8171622022548105,0.8873015102027817
200,anchor_cosine,64,0.7892238406078181,0.8171569042977028,0.887340379002745
200,kmeans_cosine,8,0.7896500652446877,0.8180522590489108,0.8868948026050204
200,kmeans_cosine,16,0.7894844053647919,0.8175012715097059,0.8870485423218686
200,kmeans_cosine,32,0.7893251662059051,0.8172098838687802,0.8871147852637641
200,kmeans_euclidean,8,0.7897717649169007,0.8183754344324828,0.8870207493363828
200,kmeans_euclidean,16,0.7896833222043257,0.817882724421463,0.8871009340758382
200,pca_quantile,8,0.7912739799229466,0.8221157921505468,0.8860774732134709
200,pca_quantile,16,0.7898629503721438,0.8209025599728744,0.8856560054300932
200,pca_quantile,32,0.7905885207988833,0.8195992625243707,0.8855073258083126
200,pca_quantile,64,0.7892504146409454,0.8186880139018394,0.885084168094717
1000,anchor_cosine,8,0.7858228183797216,0.8395982995362371,0.898257260188733
1000,anchor_cosine,16,0.7838423071950367,0.8405246885514231,0.8989091867547352
1000,anchor_cosine,32,0.7850614496906854,0.8400586523597344,0.899365283680913
1000,anchor_cosine,64,0.7861301385416777,0.8400870692006911,0.899394979762571
1000,kmeans_cosine,8,0.7845421498606556,0.8398540511048468,0.898806609705624
1000,kmeans_cosine,16,0.7839893864397779,0.840206419932709,0.899310134321869
1000,kmeans_cosine,32,0.7849587009276129,0.8405019550786578,0.8996281952669539
1000,kmeans_euclidean,8,0.7841490073381686,0.839422115122306,0.8988091808947646
1000,kmeans_euclidean,16,0.7843178125653925,0.84038260434664,0.89945289629801
1000,pca_quantile,8,0.7843671333031301,0.8404735382377012,0.8986417374986693
1000,pca_quantile,16,0.7847357338463941,0.8401325361462217,0.8983679789127681
1000,pca_quantile,32,0.7842186332890715,0.8396778666909157,0.8980930846368248
1000,pca_quantile,64,0.7828429842037918,0.8388935618805129,0.8975489235413505
