run,q,balanced_accuracy,accuracy,nll,brier,auroc
hybrid_w50_50_userdisc,50,0.804304,0.786196,0.469544,0.152133,0.882493
hybrid_w70_30_userdisc,50,0.804191,0.784051,0.477114,0.154607,0.882927
hybrid_w30_70_userdisc,50,0.802799,0.788435,0.462986,0.150092,0.882051
neural_n2c_rate35_userdisc,50,0.800955,0.77634,0.491067,0.159745,0.881737
neural_n2c_rate35_difficulty,50,0.800793,0.784041,0.481741,0.155798,0.881315
svd_userdisc_best,50,0.799653,0.790936,0.465022,0.148391,0.879279
neural_n2c_rate35_e8_userdisc,50,0.797555,0.773243,0.493034,0.160706,0.87814
svd_centered_userdisc,50,0.796665,0.763659,0.490541,0.159599,0.879279
svd_threshold_userdisc,50,0.788722,0.759631,0.487787,0.158854,0.879279
calibrated_prior_difficulty,50,0.785527,0.734829,0.541851,0.18128,0.881257
user_knn_k5_centered_userdisc,50,0.780549,0.731052,0.560416,0.182917,0.875845
user_knn_k5_userdisc,50,0.779731,0.79273,0.460363,0.146371,0.875841
hybrid_w50_50_userdisc,100,0.806254,0.785975,0.470623,0.15262,0.884188
hybrid_w30_70_userdisc,100,0.805994,0.788424,0.463939,0.150537,0.884478
hybrid_w70_30_userdisc,100,0.805749,0.783149,0.478394,0.155186,0.884202
svd_userdisc_best,100,0.802879,0.78907,0.460161,0.148436,0.883274
neural_n2c_rate35_difficulty,100,0.802197,0.792343,0.472745,0.152059,0.881907
neural_n2c_rate35_userdisc,100,0.801482,0.775978,0.490908,0.159721,0.882462
svd_centered_userdisc,100,0.800102,0.764079,0.486219,0.159769,0.883274
neural_n2c_rate35_e8_userdisc,100,0.797378,0.772532,0.492875,0.160748,0.877765
calibrated_prior_difficulty,100,0.788197,0.737917,0.540999,0.180905,0.881722
user_knn_k5_centered_userdisc,100,0.786471,0.735858,0.552817,0.180089,0.87918
svd_threshold_userdisc,100,0.78355,0.748991,0.496688,0.164842,0.883274
user_knn_k5_userdisc,100,0.780849,0.792096,0.457357,0.145605,0.87918
hybrid_w30_70_userdisc,200,0.810475,0.792643,0.459026,0.148451,0.886989
hybrid_w50_50_userdisc,200,0.809912,0.789544,0.466435,0.150835,0.886589
hybrid_w70_30_userdisc,200,0.809,0.785968,0.475104,0.153778,0.886387
svd_userdisc_best,200,0.808605,0.794821,0.453728,0.145789,0.886451
svd_centered_userdisc,200,0.805146,0.768511,0.479878,0.157183,0.886451
neural_n2c_rate35_userdisc,200,0.80504,0.77827,0.489089,0.15889,0.884828
neural_n2c_rate35_difficulty,200,0.803914,0.79552,0.469265,0.15058,0.883025
neural_n2c_rate35_e8_userdisc,200,0.801388,0.775261,0.490545,0.159708,0.88041
calibrated_prior_difficulty,200,0.793643,0.744172,0.53919,0.18006,0.882644
user_knn_k5_centered_userdisc,200,0.790238,0.740464,0.553524,0.17986,0.882038
svd_threshold_userdisc,200,0.783564,0.746604,0.495131,0.164588,0.886451
user_knn_k5_userdisc,200,0.779176,0.793184,0.452823,0.143972,0.882037
