run,q,accuracy,balanced_accuracy,nll,brier,auroc
rasch_highbudget,100,0.8171387744809616,0.7859737835369418,0.44425617013062835,0.13201009603358982,0.8826474266937375
twopl_highbudget,100,0.8152160208455913,0.7871384470197003,0.4524410138671013,0.13275175401940936,0.8826474266937375
vote_rasch_hybrid,100,0.8104354038833319,0.7893272649509958,0.4660293680913039,0.13640286583034822,0.8831804480393985
vote_userlogreg_hybrid,100,0.8096316298226444,0.7866285823958903,0.4363007826074348,0.13928687851876015,0.8828621108938767
top_vote_userlogreg_hybrid,100,0.8070049172060183,0.8021309378383816,0.4403626968349631,0.14100975776091215,0.8849723629125729
observed_vote_t10,100,0.805560225266874,0.783176677696325,0.5127754436596504,0.1397564839571714,0.8821111835661429
rasch_highbudget,1000,0.8396551332181504,0.7768016429308984,0.4096639695955501,0.1191180701553865,0.8966877806169006
twopl_highbudget,1000,0.8385411930526507,0.7913314706880928,0.4152925851841826,0.11854015057906506,0.8966877806169006
top_vote_userlogreg_hybrid,1000,0.8332158770573793,0.8139290483162108,0.40296792936445386,0.12628564471378917,0.9019468830269954
vote_rasch_hybrid,1000,0.8322212876238975,0.7961912548351189,0.42709724181012804,0.12224496862480144,0.8985892490570806
vote_userlogreg_hybrid,1000,0.8321360371010276,0.8009260665414766,0.39829875432569134,0.12501313351094717,0.9009380774776865
observed_vote_t10,1000,0.828419114303901,0.7978610394806741,0.4815316186973502,0.12583390949293966,0.8978696162816555
