method,accuracy,balanced_accuracy,obs_best_match,best_eval_acc
obs_softmax_t0.1,0.8279076111666819,0.7979342517614991,0.6554375,0.8078851050286442
obs_softmax_t0.2,0.816995544239338,0.8251985828968535,0.6554375,0.8078851050286442
oracle_best_single_train_user_eval,0.8078851050286442,,0.6554375,0.8078851050286442
obs_softmax_t0.05,0.7990417841229426,0.723293429402711,0.6554375,0.8078851050286442
obs_softmax_t0.5,0.7841399927252887,0.8235433835392915,0.6554375,0.8078851050286442
obs_softmax_t1.0,0.7735064108393198,0.8186283237794987,0.6554375,0.8078851050286442
obs_softmax_t0.03,0.7691245339638083,0.6855533460867619,0.6554375,0.8078851050286442
train_majority_prior,0.7602243793761935,0.8113134004586342,0.6554375,0.8078851050286442
obs_softmax_t0.01,0.7382126943711921,0.6570908648807384,0.6554375,0.8078851050286442
best_train_user_by_observed_1000,0.7356381285805219,0.6550490911925964,0.6554375,0.8078851050286442
